para_indx,g,k,n,lambda_pos,lambda_neg,thrs_A2toA1,thrs_B1toA1,thrs_B2toA1,thrs_A1toA2,thrs_B1toA2,thrs_B2toA2,thrs_A1toB1,thrs_A2toB1,thrs_B2toB1,thrs_A1toB2,thrs_A2toB2,thrs_B1toB2
1,64.73487443,0.014670163,6,44.31400555,0.018269416,1.392538489,0.714319429,0.677385115,1.751050539,1.033102722,0.14998485,1.654925236,0.59938519,1.124631583,1.670407067,0.955474301,1.340753877
2,49.18575555,0.725303018,6,16.19465222,0.049787084,1.282574085,1.784499645,1.829260257,1.407800312,1.198295267,1.427167525,0.298821954,1.77092168,0.115421096,0.841452518,0.823041696,0.510437168
3,30.81133567,0.030133272,2,76.01071114,0.012745673,1.758527033,0.282144951,0.99153415,1.0433001,1.747637388,1.049919108,1.186436616,1.709826554,1.017655856,0.685679453,0.45773282,1.845156096
4,90.02002107,0.065562973,3,38.84805481,0.14289094,1.082008864,0.236416114,1.79143718,1.402061809,1.112880724,1.451245795,1.352899618,0.36891675,1.047524968,0.151223311,1.443374441,0.20202137
5,45.84847219,0.019969725,3,75.48566604,0.016495423,1.812458023,1.404053493,0.089369824,1.417580413,1.20234637,1.08102713,1.512480243,0.466024783,0.943453947,1.865671139,1.555975423,1.423844948
6,19.88992714,0.0135846,3,55.24968145,0.343764705,0.446802434,1.239638539,1.681642078,0.45267884,1.981469993,0.360112648,1.092060246,0.906797801,1.316354521,0.471143522,0.866267423,0.505654077
7,82.83240732,0.013348717,4,36.25269525,0.049272567,0.618124113,1.145664361,1.80462913,0.081175187,0.237820303,0.665884835,0.46468239,1.169713532,0.059335639,1.627704185,0.749877773,1.636429759
8,42.89975453,0.031568378,6,36.08423766,0.011028715,0.258781479,0.654840081,1.503237024,1.203242198,0.306084981,1.971949528,0.961770139,0.979837472,0.931355426,1.657948825,0.756812736,1.029958919
9,39.31490357,0.019500841,2,7.468797292,0.010517027,0.911822268,1.248530804,0.655504646,0.903956735,1.202892758,1.018414472,0.494843358,1.774754158,0.09874771,1.01193046,0.645809199,0.264166803
10,77.90374474,0.096357141,5,69.10650882,0.044603823,0.205805829,0.508818509,0.966021867,1.988542377,1.247863789,0.51708983,1.884798392,1.395502511,0.358567163,0.834021395,0.109752274,0.963001453
11,73.02540805,0.014534196,6,12.86563766,0.039218695,0.753166788,0.688766254,1.759464433,1.563154659,1.667439237,1.951940701,1.746197442,1.533559522,1.594921949,1.72926083,0.41431103,0.628616158
12,35.49886866,0.016037853,2,59.61097665,0.149333925,1.693632205,0.929671151,0.378888825,0.948492396,0.109787362,0.816587312,0.676084857,1.354696114,1.929789487,0.449986412,0.814649082,0.363181832
13,49.15247132,0.018993957,1,6.670977145,0.017719623,0.053103605,0.910201083,0.689396932,0.419046474,1.909849557,0.497466949,1.875669527,0.621749842,1.679859041,1.369486544,0.567055633,1.310275192
14,51.45355888,0.028462642,1,85.30670098,0.011879806,0.564864944,1.743842605,0.379607414,0.463642297,1.127560246,1.655056459,0.476343124,0.440427449,0.540657021,1.641090497,0.456682612,0.512104057
15,87.519533,0.019094208,3,61.53181671,0.014671851,1.112537459,1.543684284,1.328732483,1.034564782,0.38633702,0.336261271,0.229669963,0.656618982,1.121127954,1.155606189,0.760765337,1.27835679
16,92.06357503,0.013629371,6,29.09803186,0.018234997,1.402489118,0.932494663,1.060603716,1.062601987,0.766777931,0.566793998,0.242560538,1.503972765,0.543006493,1.473419553,1.616927215,0.488156123
17,35.725789,0.013256448,2,6.667623961,0.016994792,1.678461962,0.427971468,0.269769284,1.133992728,1.197738737,0.097819252,1.09057203,1.731402892,1.127983685,0.716361775,1.216333365,0.507506346
18,73.1535369,0.03993916,3,98.82598668,0.035980955,1.150076143,0.990117344,0.688409753,1.097811045,1.293219583,1.228436546,0.784586721,0.86406953,1.928586682,1.175288518,0.777548276,1.896954273
19,33.26073931,0.06243258,3,15.33138301,0.030893165,1.353463491,0.326954238,1.100832852,0.759975236,1.113699957,0.868422899,1.490775082,1.399580558,1.513164926,0.296338228,1.036519256,0.412453539
20,54.1430498,0.015509089,4,12.68977907,0.052525776,0.703780841,0.052082254,1.519778533,1.492344075,1.005638919,0.843645058,0.789406155,0.233970028,1.909606112,1.182039902,0.830942094,1.791200996
21,67.27732929,0.160130303,6,21.07892288,0.01926144,0.751752132,1.428536864,0.39678218,1.060479409,0.885445712,1.205339779,1.607304405,1.755871407,1.345500698,0.427662036,0.518418363,0.837786609
22,13.43911263,0.016153985,3,18.79673455,0.018884676,0.679780815,1.462257408,1.550536895,1.331473942,0.941231414,1.66715577,1.807884765,1.089659591,1.32164612,0.914746823,1.134663245,1.387265672
23,60.98082935,0.010272528,2,73.60592267,0.010014596,1.076328852,1.529301823,1.658580945,0.202284357,1.670598238,1.365059616,1.734068105,0.193286184,1.253774306,1.157031602,1.217695652,0.541624239
24,1.569416635,0.045759813,6,81.61919727,0.036332471,1.080329822,0.926665402,0.95035205,0.751693828,1.080029383,0.973946385,0.968070534,1.714041271,1.342581849,1.19877463,1.537207492,0.092635812
25,66.28892359,0.01004778,1,48.03629298,0.010516638,1.250487912,0.248410466,1.186658021,1.781461158,1.955426296,0.554811994,0.175789606,0.117518274,1.449495848,0.337616232,1.476631487,1.794608741
26,47.38691569,0.013175463,4,34.17276677,0.038154682,0.654960496,1.397554688,1.254506774,0.985124964,0.237363503,0.546065823,1.213992123,1.767020348,1.657523297,1.288334242,0.844752978,1.361520884
27,92.8714612,0.012667077,2,98.85976731,0.011898684,1.786503711,0.566189157,1.532688674,0.966929981,1.465966326,1.362419177,1.787382211,1.121317782,1.678508636,0.197326763,1.053337351,1.458917129
28,75.45167434,0.021646885,1,84.10427189,0.011562169,0.42230941,0.021383835,1.48883752,0.323907101,0.027261185,0.785477994,1.284918425,1.179550694,0.151530242,1.795355079,1.488639247,1.704644496
29,53.2399453,0.022686403,3,13.48920771,0.032176601,0.835024864,1.470529582,1.122033438,1.36351663,1.947340722,0.390830819,1.825423173,1.699734833,0.268045417,0.840200071,1.407027938,0.769857722
30,47.55620284,0.015587199,1,3.079694536,0.01816821,0.612426007,0.864700764,1.135226983,1.628862611,0.135984795,1.888589793,0.416852438,0.216154095,1.247502291,1.10768251,1.226352122,1.032936072
31,51.12861677,0.01274602,6,90.48765613,0.041454473,1.321508571,1.58783793,1.270833775,1.212944405,0.411687879,1.353973814,0.340228051,0.130990334,1.423934881,0.842554912,0.42152923,0.90247581
32,93.36737601,0.018404301,4,96.26605488,0.052789491,1.778568964,0.673387844,0.465664894,0.8480147,1.238756066,1.865050556,0.584884627,0.955521763,0.059370963,1.692257036,1.452011893,0.503137485
33,19.48762624,0.010929068,3,42.95084541,0.012293199,0.800198348,0.666694978,1.275710646,1.314635887,0.453061134,0.140737887,1.092337857,1.113887397,0.684250632,0.504703367,0.062753329,1.642941934
34,61.03338893,0.012826057,3,90.89966446,0.021598548,1.42335292,1.486482143,1.004566607,1.447250697,0.901129212,1.118027872,1.335840644,1.917792077,1.909469475,1.132413242,1.760390247,0.7536959
35,1.26039413,0.126139744,4,24.25422936,0.015649555,1.563770259,1.233844433,0.334386408,1.552182531,1.0830016,1.40280187,0.293215113,1.735246615,1.478126588,0.194326863,0.66850532,0.509317631
36,93.38401272,0.018284365,1,5.424985842,0.041665786,1.479589855,1.269460338,1.672891858,1.793108993,1.37093621,1.02180332,0.15172527,0.701556007,0.516318737,1.89064209,0.697206071,0.766613067
37,20.61278301,0.016370104,4,44.05939273,0.033181173,0.75281325,0.913474105,0.85267338,0.317233727,0.731281771,0.731179473,1.134561212,0.114019778,1.468931689,0.303959417,1.648410075,1.229913984
38,84.91990164,0.012302486,1,30.96587482,0.01214933,0.495973948,1.099034925,0.968661364,1.627577251,0.867765169,1.022546175,1.36689504,0.838299824,1.573166023,0.304080277,0.288516522,1.653883865
39,42.44713817,0.021646885,3,81.27542957,0.015623878,0.429630942,1.386622572,0.576402497,0.530836304,0.94985296,0.618944908,1.113969965,1.41850945,1.825050897,0.238782287,0.182422264,0.384674002
40,22.72975256,0.010671512,4,38.648633,0.02613383,1.158670014,0.232834836,1.547763884,0.635461318,0.622972767,0.104971267,1.751672747,1.902667899,1.009519973,0.473632469,1.722592973,0.539351741
41,24.37454461,0.090712655,2,20.60564777,0.014118613,1.159166374,1.434095114,0.463021217,1.91670133,0.31580753,1.278922905,1.374555257,1.737878548,0.598874529,0.024228907,1.860608006,1.869513093
42,18.18643,0.013627746,6,16.4277022,0.011308997,0.992647235,0.36116312,1.457017247,0.860445441,0.875764262,1.834707898,1.467544598,1.95340897,1.09914744,1.225631435,0.193585901,0.729265756
43,19.19157246,0.119114926,1,37.86819447,0.011824321,0.097721061,1.799315248,0.171711989,0.813540497,0.022072824,1.451824843,1.174710604,1.460040959,0.202719685,0.64788306,1.036883009,1.877520548
44,94.84434948,0.011593333,1,67.96914797,0.051282358,0.937571258,1.742478538,1.533978795,1.958667126,0.104558448,0.346208555,1.54175016,1.132418907,0.874746316,0.220123378,0.225705242,1.6027692
45,75.77595841,0.012670132,5,15.34673036,0.036731695,1.545904017,1.775297009,0.731312596,1.513729701,0.59453097,1.647047223,1.872558186,1.398684381,0.962685835,0.136341348,0.81737688,1.291422565
46,58.54050566,0.027832289,2,35.58149858,0.012981382,0.549077965,1.042912516,1.045867135,0.186749174,0.993680591,1.819840966,0.044793419,1.663658418,0.747509842,1.611539042,1.532754437,0.435363484
47,47.06535452,0.013527321,2,75.02640595,0.082987718,1.381157341,1.55234077,0.207687561,1.228136685,0.949884928,0.905609233,1.054347696,0.760540368,1.617865916,0.575080825,0.230922552,1.848492558
48,7.860372454,0.042747432,6,38.15138767,0.051528974,1.749910147,1.63376601,0.313825097,1.079569757,1.352998047,1.895236727,1.219799851,1.754817447,1.291512011,0.170485203,0.10451764,1.189600694
49,57.96990502,0.036328442,3,35.87046029,0.010191828,1.345112371,1.829830137,1.56501777,1.212004359,1.70265493,0.885749811,0.312953007,0.078041763,0.082901292,0.858407683,0.308846422,0.177106117
50,76.18097509,0.013218081,2,93.75903886,0.048547882,0.359708405,1.250400564,0.530379833,0.980515531,0.491505509,0.823617775,1.674217858,1.277566068,0.362377768,0.271595643,1.155275634,1.214088009
51,92.46822286,0.012425456,2,4.504900951,0.012039963,1.00618955,1.007735807,1.769930441,1.696390359,1.839195085,0.997291184,1.354485202,1.768574322,1.376215794,1.601289148,1.50283641,0.461877214
