para_indx,g,k,n,lambda_pos,lambda_neg,thrs_A2toA1,thrs_B1toA1,thrs_B2toA1,thrs_A1toA2,thrs_B2toA2,thrs_A1toB1,thrs_B2toB1,thrs_A1toB2,thrs_A2toB2,thrs_B1toB2
1,88.20080807,0.024629468,4,80.00730128,0.468813875,41.76105774,90.84714522,1.627561757,0.578517896,0.472663754,1.569821027,1.651236733,1.638012957,27.69328583,5.008336692
2,64.56671883,0.011221481,6,8.695610537,0.043854683,81.72922342,70.79476916,1.064285371,0.292524416,1.547747672,0.51150311,0.767390701,1.671956877,73.50828616,90.03789088
3,55.30189018,0.030410999,5,7.843663286,0.02667495,78.72950732,8.1941024,0.288491129,1.430663404,0.448980599,0.888610989,1.037071785,0.425552575,16.95990361,59.62827775
4,14.39403937,0.013038432,6,66.82972454,0.020643454,49.29114454,59.1123032,0.207005188,0.632755611,0.816667471,0.991333445,1.587251702,0.354840357,19.1941425,78.57647988
5,82.55517286,0.507781635,2,87.75527138,0.014119044,41.35859359,53.55778799,0.908738501,1.811990936,1.67260045,0.409974822,0.205120319,1.248022855,68.53202354,81.07634124
6,20.80862315,0.266097032,2,23.02615316,0.014446528,4.918744603,89.03949433,1.081292507,1.835311532,0.387234089,0.904710118,0.512041582,0.134542045,70.48842279,66.81061918
7,38.715584,0.016774974,6,88.13389147,0.039026845,3.899463883,18.9170232,1.764276275,0.038302841,1.241807739,0.311657747,0.567726116,1.088582831,29.69065059,8.698349392
8,99.22997289,0.010941607,5,72.12478993,0.021551281,76.81368057,21.32054486,1.798226573,1.212374543,0.571516324,0.660794378,0.833118482,0.806780225,54.63595561,40.8652006
9,15.98411248,0.011800278,4,80.38209544,0.013310502,65.91718974,58.59689202,0.701501066,1.784777204,1.682281393,1.084638919,0.285488681,0.967555046,1.74456907,58.99715007
10,42.62441291,0.015178567,5,48.79309472,0.294190418,10.72592083,2.50529298,0.481479438,1.378652471,0.576095911,1.539802631,0.101480762,1.551290646,20.19129257,88.56583418
11,88.67083511,0.041610164,4,32.8854546,0.018889467,12.52674276,36.76175573,1.826031052,0.816786021,1.332718512,1.06522699,0.624350271,1.578628613,61.85242762,66.36466549
12,84.75752784,0.01549698,5,45.44267827,0.085392998,3.243905492,81.95958432,0.144721156,1.581510254,0.221116103,0.856382462,0.667704258,0.220991542,3.336044025,73.99077666
13,98.8852607,0.014135553,3,34.73340856,0.064352514,35.3139376,17.57510476,0.836702778,0.871656823,0.267595983,0.217441377,1.150369611,1.703714385,65.16460134,28.05136725
