para_indx,g,k,n,lambda_pos,lambda_neg,thrs_A2toA1,thrs_B1toA1,thrs_A1toA2,thrs_B2toA2,thrs_A1toB1,thrs_B2toB1,thrs_A2toB2,thrs_B1toB2
1,13.03722628,0.019699344,1,67.33192821,0.017512317,50.85576755,46.90472834,12.74960121,67.82919046,31.20318243,36.95196533,18.5771505,1.765994217
2,44.33145833,0.153395777,2,78.41064011,0.020981444,74.43169816,60.63069143,90.40169304,10.57373998,16.18908422,14.20377247,46.21768647,80.95538712
3,79.2267419,0.017488772,6,38.08190496,0.012028584,86.5904275,85.39795293,37.21964416,92.89386101,82.13491442,41.29811126,20.66007806,9.569638001
4,19.93135125,0.090917784,4,6.298632443,0.029719069,16.34466725,34.80606432,82.61555865,18.79949608,50.97788004,81.47562288,52.17440191,13.50449263
5,71.84030274,0.011468296,1,67.19643057,0.014118558,31.87161474,8.255967048,27.69598302,66.91389848,72.71499628,46.42995059,3.460142156,38.96730758
6,57.2992556,0.066456117,2,70.60371353,0.033893002,82.9587427,27.52310408,45.05433671,34.34052185,20.10908182,55.92890599,88.8500106,4.5361096
7,51.20138743,0.010750949,2,64.50207223,0.090157823,87.28458442,13.99791826,92.57778567,29.30894079,47.28973846,27.90499662,59.11757489,58.97343768
8,59.38742181,0.012952335,5,75.30995573,0.011179726,52.01419398,27.1455878,38.11350791,33.01495533,4.5919145,8.665998567,91.97793818,28.28135872
9,75.66901903,0.011645675,6,33.87583522,0.029765089,46.73290691,44.36493364,12.17090057,4.082137875,9.515461314,10.39054723,92.07366531,42.70694718
10,22.66854697,0.017939432,2,17.23453818,0.057663205,4.966758685,24.17821475,30.86298405,84.5719046,34.90357315,5.68212523,49.62327292,61.7529026
11,93.3318415,0.034115446,4,7.563220073,0.011812089,36.67445194,39.66166293,31.46040788,67.3211359,21.60704209,29.86474536,43.48182175,46.79480994
12,60.12999793,0.017454105,1,47.35106972,0.418849949,22.97689716,31.95479941,63.86753057,31.2065564,74.16725004,44.81318284,34.29472794,75.23440284
13,91.25912267,0.054923692,3,68.6212343,0.011639061,2.453689693,28.48407423,45.38885547,55.65490856,19.22744465,85.61741494,76.29476053,33.93254706
14,58.93838535,0.06353204,3,76.6516954,0.029828727,43.5334048,84.53980549,81.67288763,33.951363,54.00172604,72.49807431,42.74126371,71.72694523
15,94.02094878,0.026699689,5,16.1881196,0.085503301,15.07244943,55.11764326,41.13476879,25.33031108,54.24533507,85.24823221,93.00852972,83.95927008
16,99.61548129,0.013523184,4,99.40320811,0.011712165,4.020001552,13.43889742,59.57089312,8.521177541,41.054651,2.955490051,34.68205897,12.09547071
17,54.81768177,0.44242649,5,64.77490319,0.010066935,51.00426344,12.12869179,2.458514499,2.317188303,58.43563138,85.99700524,43.51110719,76.16778353
18,94.41568957,0.02220919,5,24.16926235,0.022107301,72.47264381,39.20746935,57.92111289,16.69397256,9.457814891,57.61085812,50.13927581,92.16362604
19,84.95533758,0.059414856,2,80.85882238,0.012971571,83.58325239,91.45841432,51.68593817,34.50041382,64.18692282,4.661045786,43.77217061,22.78775692
20,95.22459794,0.028171138,1,63.45878912,0.010865117,73.05468382,5.77812802,32.48933585,47.77587819,83.68973415,23.68644727,73.05061738,84.53363675
21,92.65536687,0.032087204,1,32.31321836,0.01491602,66.40468771,44.92475306,19.60492403,58.61230353,18.57418718,74.53694601,19.45939058,35.54400334
22,42.38322727,0.169786044,4,87.70621959,0.013136819,73.33156261,91.08312536,83.45557687,64.99908918,94.65210288,43.997788,60.73697124,36.9969759
23,55.19866304,0.011414051,1,76.07638501,0.037887481,33.23094587,68.57901736,14.51653134,70.77939412,69.26638648,75.18987892,55.74958073,67.5650827
24,18.54150401,0.011149935,1,23.97350301,0.02977705,37.3723714,42.01734938,32.77700799,58.64271254,37.7060164,80.29156126,83.34426473,37.03108702
25,99.89938622,0.410901138,2,91.16517885,0.040813763,74.01213797,91.09670217,39.40319481,69.85178332,65.38956774,42.13573268,14.92910132,10.62740995
26,12.02785881,0.01905088,6,38.37508608,0.014895932,3.598006663,70.708044,65.72090897,68.36820855,14.56423982,8.455656626,57.77813493,67.17618254
27,47.54079697,0.014321046,3,27.53274239,0.014033187,2.505203585,90.25050121,88.17893486,31.9386275,54.14697472,94.64178958,32.363022,69.06465548
28,76.0535324,0.278062603,2,11.26715668,0.027830901,83.6744216,78.64003971,25.75869949,84.5675072,55.0661829,49.7541306,72.34439204,40.29033103
29,42.21384607,0.011293717,5,27.74429137,0.020056698,27.34763157,71.47951483,68.49178257,38.59219396,86.02881085,21.76897503,86.72994855,66.71815707
30,18.79106781,0.01318673,2,85.41241776,0.033219055,43.7270181,34.63342572,82.52029343,69.01159059,56.38298264,54.6291394,81.27913922,38.74303285
31,69.70212601,0.017082387,2,94.97507848,0.021165087,11.54124022,86.39396512,44.85449525,33.07057967,87.30800028,61.89089127,73.97809899,63.06890735
32,61.21460269,0.013366417,5,98.27433499,0.011697163,15.00453321,2.017945798,43.62465761,38.46925132,40.02290495,53.04193932,70.30022312,29.46192024
33,66.401944,0.011683961,1,38.67395254,0.023855528,79.85604862,49.82046898,14.62048327,28.08488272,10.22981577,94.83174268,30.18868764,2.236249428
34,83.29330527,0.277580325,2,46.48584615,0.108802578,16.15086091,29.02105165,28.18992269,2.954655072,67.31370175,44.93342958,5.369076531,90.89522674
35,55.68432828,0.040328313,4,52.64045496,0.020249539,1.322541253,77.58795766,39.00870549,49.75105859,40.11514933,79.15455642,74.35248213,76.57182179
36,41.09110247,0.013148979,1,18.42584553,0.021215316,86.3352418,57.34008212,68.08285426,17.98782854,85.8644727,77.64379517,42.45709324,69.03906149
37,92.63594594,0.010614617,2,11.31576052,0.018021497,57.2638852,63.95919517,41.83768444,36.42504746,64.45934881,23.31002188,80.95356449,78.48760574
38,81.05189011,0.087939154,5,35.03395735,0.018074665,6.844354938,70.84725328,50.14244212,22.51770091,11.37774741,92.29846466,90.25341038,92.09865062
39,34.79709098,0.015646535,3,40.84560117,0.021111427,45.55754555,66.47723901,27.12777093,11.68509827,30.74132298,48.57743881,74.00988664,12.65343021
40,11.83705319,0.011265355,2,46.12672201,0.030352275,22.31187776,76.80523039,80.00652693,46.01547582,2.726504114,9.832389258,65.50370109,45.93842279
41,37.30327525,0.015878058,4,74.58591733,0.178637478,31.43603317,31.98686924,28.70701839,66.46272038,95.16709843,79.83826587,34.50417476,48.50818551
42,79.59809514,0.016591761,2,34.50647042,0.011883856,23.40502995,78.46890658,55.91500989,52.83321452,36.53708669,27.70452415,26.81309137,75.02372324
43,98.27139039,0.038878878,5,13.36378099,0.010423632,13.53192468,31.67471694,13.41358979,37.17939078,55.06689273,15.80872757,43.33701908,23.92593104
44,63.71984238,0.021813294,1,63.04013833,0.014395578,50.3685893,38.71808771,4.941340236,32.629317,17.53470201,92.4489604,35.36981373,86.92508282
45,61.66996427,0.010366524,2,37.77495858,0.011848961,75.02022694,32.89560907,81.93150017,42.4836082,84.31298494,87.01907093,35.71943394,2.454832899
46,61.94566396,0.016968665,4,79.00115387,0.014572749,85.4624756,49.26661418,70.73745399,55.40861405,81.25311005,83.66662923,42.87481093,69.43504031
47,48.85151315,0.010013447,2,22.45887351,0.011742907,85.65123087,15.92585061,61.13487453,63.15910144,7.804748532,11.05213323,92.14733865,15.12286371
48,70.49277177,0.017048491,6,43.72991742,0.019493687,12.86179506,74.39588528,42.35327056,62.51715681,71.95327383,77.44188264,72.50060431,22.81122617
49,66.67486182,0.019618866,5,74.78716736,0.019700097,61.68435375,88.73434341,68.00375945,70.59544377,59.95450382,75.03792442,80.03256812,18.21629759
50,34.2556674,0.029565828,3,14.18472116,0.01749746,76.42899947,12.18929399,15.31175094,20.59720789,69.24426638,27.89223615,17.86808133,48.22120594
51,66.06145248,0.037211942,6,91.67590734,0.018976238,4.094940166,35.33235713,56.42411998,89.84016257,72.87053552,51.20765278,92.42514556,56.41788751
52,46.53115963,0.010579925,5,59.94014848,0.011591417,51.33085511,20.26276228,22.72843788,80.67143612,24.14774318,1.917926752,5.904040496,92.42276467
53,78.5927113,0.032575687,5,90.93723145,0.035255665,55.52933664,15.70069965,48.62840218,14.68647721,79.38070276,19.50980054,70.86730969,90.07737053
54,96.01769469,0.010274128,5,11.46198081,0.01439856,61.81256382,15.65585241,50.5952851,58.74669326,90.10050691,38.78552089,33.34223162,31.56293469
55,17.91907656,0.151587006,6,48.02482499,0.020910829,67.77301346,55.22958305,29.06152659,90.1347946,62.68843808,42.88965577,59.86415946,45.69520962
56,35.46477844,0.022002985,2,74.63559334,0.277488417,48.59827298,20.51072481,15.94220668,39.14213696,75.92836796,79.46961759,56.88870513,19.35038899
57,11.37007831,0.011771948,1,12.40403457,0.013554143,77.85206643,13.78143994,18.68259204,41.74549053,82.86817542,86.60650315,15.23717246,89.55353279
58,63.19300386,0.022191745,3,16.65787494,0.021310135,67.39321881,35.35978321,57.09427903,21.64972968,67.50033841,22.14369342,12.50686938,40.25391627
59,78.16767946,0.010336595,3,38.65052532,0.017016033,89.02485956,22.63664896,12.5000962,35.62612975,41.43574359,55.57964637,62.27603311,31.22737704
60,85.7625945,0.114680432,1,20.19322543,0.016020047,82.5579276,89.59253736,18.79270493,42.28791598,68.49780877,86.87985528,54.36413959,78.85345971
