para_indx,stability,freq,A1,A2,B1,B2
2,2,724,0,0,288,268
2,2,276,267,260,0,0
13,2,226,0,0,1661,1662
13,2,774,1662,1662,0,0
14,2,352,0,0,927,927
14,2,648,928,927,0,0
19,2,717,0,0,1430,1429
19,2,283,1425,1428,0,0
22,2,602,0,0,249,250
22,2,398,248,246,0,0
25,2,105,0,0,236,243
25,2,895,222,236,0,0
26,2,72,0,0,631,631
26,2,928,631,631,0,0
27,2,193,45,7,2138,3288
27,2,807,3320,3319,2,2
28,2,320,3,3,265,267
28,2,680,252,271,2,2
30,2,896,1,1,1423,1424
30,2,104,1423,1420,1,1
34,2,48,1,1,292,270
34,2,952,299,283,1,1
35,2,155,28,6,1123,1381
35,2,845,1381,1381,1,1
38,2,8,0,0,922,922
38,2,992,922,922,0,0
39,2,117,1,1,2224,2224
39,2,883,884,47,47,1748
40,2,2,1,1,956,1048
40,2,998,1050,1045,1,1
42,2,13,2,2,4783,4776
42,2,987,4795,4792,2,2
45,2,967,2,2,5945,5932
45,2,33,3065,1551,32,73
47,2,801,3,3,4394,4874
47,2,199,404,2552,57,60
51,2,749,0,0,1775,1775
51,2,251,1775,1775,0,0
53,2,999,1,1,2413,2413
53,2,1,2413,2413,1,1
54,2,1,12,12,9345,9294
54,2,999,134,275,1228,135
56,2,997,444,455,467,464
56,2,3,445,455,467,464
62,2,859,1,1,1314,1314
62,2,141,1314,1314,1,1
64,2,9,1,0,2667,2689
64,2,991,2692,2690,1,0
69,2,677,0,0,551,551
69,2,323,551,551,0,0
70,2,672,0,0,388,386
70,2,328,388,388,0,0
71,2,999,149,153,141,147
71,2,1,3123,3123,2,2
72,2,475,10,8,234,235
72,2,525,235,235,0,0
73,2,421,0,0,360,356
73,2,579,356,359,0,0
74,2,2,3,3,4302,1400
74,2,998,82,96,2514,96
75,2,130,67,69,507,299
75,2,870,68,1510,446,68
80,2,90,1,1,1831,1834
80,2,910,1833,1835,0,0
85,2,800,47,2697,743,47
85,2,200,3174,3174,1,1
86,2,277,0,0,871,871
86,2,723,871,871,0,0
87,2,312,3,7,3,3
87,2,688,24,40,3,2
88,2,999,209,181,179,178
88,2,1,3654,3654,2,2
90,2,91,1,1,1379,1379
90,2,909,1379,1379,1,1
91,2,424,0,0,526,523
91,2,576,514,527,0,0
93,2,2,0,0,1129,1127
93,2,998,1130,1131,0,0
95,2,161,1,1,864,864
95,2,839,864,864,1,1
96,2,293,0,0,1410,1410
96,2,707,1410,1410,0,0
98,2,844,4,4,3475,3475
98,2,156,3453,3471,4,4
99,2,629,1,1,807,807
99,2,371,807,807,1,1
100,2,862,2,2,448,448
100,2,138,448,448,2,2
101,2,332,15,12,300,276
101,2,668,325,274,11,9
106,2,641,2,2,3880,3848
106,2,359,3879,3870,2,2
107,2,563,0,0,500,504
107,2,437,498,501,0,0
108,2,346,0,0,1153,1153
108,2,654,1153,1153,0,0
110,2,900,2,2,4205,4205
110,2,100,4205,4205,2,2
112,2,669,1,1,1119,1119
112,2,331,1119,1119,1,1
114,2,489,1,1,809,809
114,2,511,809,810,1,1
115,2,1,3,3,1260,1260
115,2,999,129,167,202,137
116,2,282,0,0,1601,1602
116,2,718,1602,1602,0,0
119,2,84,4,4,2211,2189
119,2,916,2217,2351,4,4
121,2,345,0,0,515,515
121,2,655,515,515,0,0
122,2,824,1317,56,56,1637
122,2,176,4064,4064,1,1
123,2,999,7,7,543,568
123,2,1,540,528,10,8
124,2,142,1,1,1,1
124,2,858,1,1,33,20
129,2,72,1,1,303,301
129,2,928,303,303,1,1
133,2,578,2,2,3692,3692
133,2,422,367,47,56,2086
135,2,668,0,0,629,629
135,2,332,629,629,0,0
139,2,999,221,133,151,315
139,2,1,1329,1329,2,2
141,2,39,1,1,611,535
141,2,961,621,637,1,0
143,2,36,0,0,1028,1028
143,2,964,1028,1028,0,0
144,2,952,60,77,2561,1170
144,2,48,3748,3748,1,1
145,2,93,0,0,155,150
145,2,907,156,156,0,0
148,2,218,91,57,1032,2838
148,2,782,1880,93,93,1370
150,2,902,1,1,1406,1406
150,2,98,1406,1406,1,1
151,2,322,0,0,332,332
151,2,678,333,333,0,0
152,2,74,0,0,1565,1565
152,2,926,1565,1565,0,0
153,2,999,3,3,1409,1410
153,2,1,1326,1397,4,3
158,2,749,0,0,417,417
158,2,251,417,418,0,0
161,2,3,1,1,2930,2938
161,2,997,589,68,68,503
162,2,925,0,0,123,123
162,2,75,119,121,0,1
164,2,529,1,1,5435,5435
164,2,471,5435,5435,1,1
167,2,3,1,1,1704,1703
167,2,997,1710,1711,1,1
173,2,32,1,1,1080,1079
173,2,968,1081,1080,1,1
176,2,3,1,1,5665,5665
176,2,997,77,68,1485,2816
180,2,902,0,0,744,745
180,2,98,745,744,0,0
183,2,32,0,0,2178,2180
183,2,968,2181,2181,0,0
184,2,865,0,0,711,710
184,2,135,711,711,0,0
187,2,106,0,0,840,840
187,2,894,840,840,0,0
190,2,998,1,0,2991,2992
190,2,2,2991,2968,0,0
192,2,998,81,958,606,81
192,2,2,1731,1735,1,1
196,2,985,0,0,259,259
196,2,15,259,259,0,0
202,2,3,1,1,976,976
202,2,997,976,976,1,1
204,2,961,1192,63,61,381
204,2,39,1842,1828,1,1
209,2,918,1,1,615,613
209,2,82,615,614,1,1
214,2,463,0,0,917,917
214,2,537,917,917,0,0
215,2,11,1,1,4367,4367
215,2,989,4313,4187,45,49
218,2,524,0,0,1027,1027
218,2,476,1027,1027,0,0
220,2,2,7,7,2323,2991
220,2,998,170,385,154,149
226,2,633,118,1082,840,101
226,2,367,3842,3857,5,5
228,2,414,49,49,2625,2747
228,2,586,2838,2838,1,1
229,2,15,1,1,1648,1644
229,2,985,1649,1649,1,1
232,2,424,116,119,302,456
232,2,576,119,573,284,119
